id_student,code_module,code_presentation,id_assessment,prev_avg_score,prev_std_score,prev_min_score,prev_max_score,num_prev_quizzes,prev_avg_delay,trend,actual_score
6516,AAA,2014J,1759,60.0,0.0,60.0,60.0,1,-2.0,0.0,48.0
6516,AAA,2014J,1760,54.0,8.48528137423857,48.0,60.0,2,-2.5,-12.0,63.0
6516,AAA,2014J,1761,57.0,7.937253933193772,48.0,63.0,3,-2.0,3.0,61.0
6516,AAA,2014J,1762,58.0,6.782329983125268,48.0,63.0,4,-2.0,1.0,77.0
8462,DDD,2013J,25349,93.0,0.0,93.0,93.0,1,4.0,0.0,83.0
8462,DDD,2013J,25350,88.0,7.0710678118654755,83.0,93.0,2,1.0,-10.0,87.0
11391,AAA,2013J,1753,78.0,0.0,78.0,78.0,1,-1.0,0.0,85.0
11391,AAA,2013J,1754,81.5,4.949747468305833,78.0,85.0,2,-1.0,7.0,80.0
11391,AAA,2013J,1755,81.0,3.605551275463989,78.0,85.0,3,-1.3333333333333333,2.0,85.0
11391,AAA,2013J,1756,82.0,3.559026084010437,78.0,85.0,4,-1.5,7.0,82.0
23629,BBB,2013B,14985,67.0,0.0,67.0,67.0,1,-10.0,0.0,63.0
23698,CCC,2014J,24292,94.0,0.0,94.0,94.0,1,-3.0,0.0,60.0
23698,CCC,2014J,24293,77.0,24.041630560342615,60.0,94.0,2,-1.5,-34.0,69.0
23698,CCC,2014J,24294,74.33333333333333,17.61628034896508,60.0,94.0,3,-1.0,-25.0,67.0
23798,BBB,2013J,14997,90.0,0.0,90.0,90.0,1,-1.0,0.0,90.0
23798,BBB,2013J,14998,90.0,0.0,90.0,90.0,2,-1.0,0.0,89.0
23798,BBB,2013J,14999,89.66666666666667,0.5773502691896257,89.0,90.0,3,-1.0,-1.0,88.0
23798,BBB,2013J,15000,89.25,0.9574271077563381,88.0,90.0,4,-1.0,-2.0,87.0
23798,BBB,2013J,15001,88.8,1.3038404810405297,87.0,90.0,5,-1.6,-3.0,89.0
24186,GGG,2014B,37427,60.0,0.0,60.0,60.0,1,-7.0,0.0,60.0
24213,DDD,2014B,25356,78.0,0.0,78.0,78.0,1,0.0,0.0,91.0
24213,DDD,2014B,25357,84.5,9.192388155425117,78.0,91.0,2,0.5,13.0,87.0
24213,DDD,2014B,25358,85.33333333333333,6.658328118479393,78.0,91.0,3,1.6666666666666667,9.0,67.0
24213,DDD,2014B,25359,80.75,10.65754818583211,67.0,91.0,4,3.0,-11.0,89.0
24213,DDD,2014B,25360,82.4,9.939818911831342,67.0,91.0,5,3.4,11.0,64.0
24391,GGG,2013J,37416,80.0,0.0,80.0,80.0,1,-4.0,0.0,80.0
24391,GGG,2013J,37417,80.0,0.0,80.0,80.0,2,-2.5,0.0,80.0
24734,AAA,2014J,1759,41.0,0.0,41.0,41.0,1,4.0,0.0,38.0
24734,AAA,2014J,1760,39.5,2.1213203435596424,38.0,41.0,2,7.0,-3.0,52.0
24734,AAA,2014J,1761,43.666666666666664,7.371114795831994,38.0,52.0,3,6.0,11.0,55.0
24734,AAA,2014J,1762,46.5,8.266397845091497,38.0,55.0,4,9.25,14.0,48.0
25107,BBB,2013B,14985,59.0,0.0,59.0,59.0,1,1.0,0.0,60.0
25107,BBB,2013B,14986,59.5,0.7071067811865476,59.0,60.0,2,0.0,1.0,63.0
25107,BBB,2013B,14987,60.666666666666664,2.0816659994661326,59.0,63.0,3,-0.3333333333333333,4.0,53.0
25107,BBB,2013B,14988,58.75,4.193248541803041,53.0,63.0,4,-0.25,-6.0,61.0
25107,BBB,2013B,14989,59.2,3.7682887362833544,53.0,63.0,5,-0.2,2.0,55.0
25150,EEE,2014B,30715,97.0,0.0,97.0,97.0,1,-1.0,0.0,87.0
25150,EEE,2014B,30716,92.0,7.0710678118654755,87.0,97.0,2,-1.0,-10.0,75.0
25150,EEE,2014B,30717,86.33333333333333,11.015141094572204,75.0,97.0,3,-1.0,-22.0,78.0
25572,DDD,2014J,25363,80.0,0.0,80.0,80.0,1,0.0,0.0,30.0
26023,GGG,2013J,37416,66.0,0.0,66.0,66.0,1,-2.0,0.0,53.0
26023,GGG,2013J,37417,59.5,9.192388155425117,53.0,66.0,2,-2.5,-13.0,73.0
26192,AAA,2014J,1759,87.0,0.0,87.0,87.0,1,-1.0,0.0,83.0
26192,AAA,2014J,1760,85.0,2.8284271247461903,83.0,87.0,2,-1.0,-4.0,85.0
26192,AAA,2014J,1761,85.0,2.0,83.0,87.0,3,-1.0,-2.0,88.0
26192,AAA,2014J,1762,85.75,2.217355782608345,83.0,88.0,4,-1.0,1.0,88.0
26211,FFF,2014B,34887,84.0,0.0,84.0,84.0,1,-2.0,0.0,84.0
26211,FFF,2014B,34888,84.0,0.0,84.0,84.0,2,-2.5,0.0,78.0
26211,FFF,2014B,34889,82.0,3.4641016151377544,78.0,84.0,3,-2.6666666666666665,-6.0,68.0
26211,FFF,2014B,34890,78.5,7.54983443527075,68.0,84.0,4,-2.75,-16.0,88.0
26315,BBB,2014J,15021,1.0,0.0,1.0,1.0,1,-14.0,0.0,60.0
26315,BBB,2014J,15022,30.5,41.71930009000631,1.0,60.0,2,-14.5,59.0,72.0
26315,BBB,2014J,15023,44.333333333333336,38.004385711827176,1.0,72.0,3,-10.0,71.0,62.0
26315,BBB,2014J,15024,48.75,32.26324017619226,1.0,72.0,4,-7.75,61.0,62.0
26734,BBB,2014J,15021,100.0,0.0,100.0,100.0,1,-13.0,0.0,61.0
26734,BBB,2014J,15022,80.5,27.577164466275352,61.0,100.0,2,12.5,-39.0,62.0
27116,CCC,2014J,24292,90.0,0.0,90.0,90.0,1,-1.0,0.0,95.0
27116,CCC,2014J,24293,92.5,3.5355339059327378,90.0,95.0,2,-0.5,5.0,92.0
27116,CCC,2014J,24294,92.33333333333333,2.516611478423583,90.0,95.0,3,-1.6666666666666667,2.0,84.0
27189,FFF,2014B,34887,52.0,0.0,52.0,52.0,1,0.0,0.0,48.0
27189,FFF,2014B,34888,50.0,2.8284271247461903,48.0,52.0,2,0.0,-4.0,16.0
27189,FFF,2014B,34889,38.666666666666664,19.731531449264992,16.0,52.0,3,2.6666666666666665,-36.0,35.0
27189,FFF,2014B,34890,37.75,16.214705259938174,16.0,52.0,4,2.0,-17.0,51.0
27417,DDD,2013J,25349,48.0,0.0,48.0,48.0,1,11.0,0.0,58.0
27417,DDD,2013J,25350,53.0,7.0710678118654755,48.0,58.0,2,7.5,10.0,52.0
27417,DDD,2013J,25351,52.666666666666664,5.033222956847167,48.0,58.0,3,8.666666666666666,4.0,6.0
27417,DDD,2014J,25363,80.0,0.0,80.0,80.0,1,-11.0,0.0,65.0
27417,DDD,2014J,25364,72.5,10.606601717798213,65.0,80.0,2,-7.5,-15.0,43.0
27417,DDD,2014J,25365,62.666666666666664,18.610033136277146,43.0,80.0,3,-5.666666666666667,-37.0,53.0
27683,FFF,2014B,34887,64.0,0.0,64.0,64.0,1,0.0,0.0,78.0
27683,FFF,2014B,34888,71.0,9.899494936611665,64.0,78.0,2,0.0,14.0,63.0
27683,FFF,2014B,34889,68.33333333333333,8.386497083606084,63.0,78.0,3,0.0,-1.0,72.0
27683,FFF,2014B,34890,69.25,7.088723439378913,63.0,78.0,4,-0.25,8.0,78.0
27759,BBB,2013J,14997,61.0,0.0,61.0,61.0,1,-1.0,0.0,65.0
27759,BBB,2013J,14998,63.0,2.8284271247461903,61.0,65.0,2,-1.5,4.0,61.0
27759,BBB,2013J,14999,62.333333333333336,2.309401076758503,61.0,65.0,3,-1.0,0.0,48.0
27759,BBB,2013J,15000,58.75,7.41057802513857,48.0,65.0,4,-0.75,-13.0,67.0
27759,BBB,2013J,15001,60.4,7.402702209328699,48.0,67.0,5,-0.6,6.0,55.0
27780,EEE,2014B,30715,65.0,0.0,65.0,65.0,1,-1.0,0.0,58.0
27780,EEE,2014B,30716,61.5,4.949747468305833,58.0,65.0,2,-1.0,-7.0,57.0
27891,BBB,2013B,14985,73.0,0.0,73.0,73.0,1,-1.0,0.0,67.0
27891,BBB,2013B,14986,70.0,4.242640687119285,67.0,73.0,2,3.0,-6.0,55.0
27935,DDD,2013J,25349,75.0,0.0,75.0,75.0,1,2.0,0.0,73.0
27935,DDD,2013J,25350,74.0,1.4142135623730951,73.0,75.0,2,-1.5,-2.0,90.0
27935,DDD,2013J,25351,79.33333333333333,9.29157324317757,73.0,90.0,3,-1.0,15.0,63.0
28046,DDD,2013J,25349,58.0,0.0,58.0,58.0,1,0.0,0.0,57.0
28046,DDD,2013J,25350,57.5,0.7071067811865476,57.0,58.0,2,0.0,-1.0,49.0
28046,DDD,2013J,25351,54.666666666666664,4.932882862316248,49.0,58.0,3,1.6666666666666667,-9.0,49.0
28046,DDD,2013J,25352,53.25,4.924428900898052,49.0,58.0,4,1.25,-9.0,69.0
28046,DDD,2013J,25353,56.4,8.234075540095562,49.0,69.0,5,1.0,11.0,24.0
28061,AAA,2014J,1759,78.0,0.0,78.0,78.0,1,-1.0,0.0,81.0
28061,AAA,2014J,1760,79.5,2.1213203435596424,78.0,81.0,2,2.5,3.0,71.0
28061,AAA,2014J,1761,76.66666666666667,5.131601439446884,71.0,81.0,3,1.6666666666666667,-7.0,82.0
28061,AAA,2014J,1762,78.0,4.96655480858378,71.0,82.0,4,1.25,4.0,76.0
28400,AAA,2013J,1753,70.0,0.0,70.0,70.0,1,3.0,0.0,68.0
28400,AAA,2013J,1754,69.0,1.4142135623730951,68.0,70.0,2,0.5,-2.0,70.0
28400,AAA,2013J,1755,69.33333333333333,1.1547005383792517,68.0,70.0,3,1.6666666666666667,0.0,64.0
28400,AAA,2013J,1756,68.0,2.8284271247461903,64.0,70.0,4,0.75,-6.0,60.0
28808,FFF,2014B,34887,80.0,0.0,80.0,80.0,1,0.0,0.0,60.0
28897,FFF,2014B,34887,86.0,0.0,86.0,86.0,1,-1.0,0.0,84.0
28897,FFF,2014B,34888,85.0,1.4142135623730951,84.0,86.0,2,-2.0,-2.0,87.0
28897,FFF,2014B,34889,85.66666666666667,1.5275252316519468,84.0,87.0,3,-1.6666666666666667,1.0,92.0
28897,FFF,2014B,34890,87.25,3.4034296427770228,84.0,92.0,4,-0.25,6.0,90.0
29144,BBB,2013B,14985,60.0,0.0,60.0,60.0,1,-1.0,0.0,55.0
29144,BBB,2013B,14986,57.5,3.5355339059327378,55.0,60.0,2,1.5,-5.0,70.0
29144,BBB,2013B,14987,61.666666666666664,7.637626158259733,55.0,70.0,3,1.0,10.0,72.0
29144,BBB,2013B,14988,64.25,8.098353742170895,55.0,72.0,4,0.75,12.0,62.0
29335,FFF,2013J,34874,94.0,0.0,94.0,94.0,1,-3.0,0.0,92.0
29335,FFF,2013J,34875,93.0,1.4142135623730951,92.0,94.0,2,-3.0,-2.0,94.0
29335,FFF,2013J,34876,93.33333333333333,1.1547005383792517,92.0,94.0,3,-3.3333333333333335,0.0,96.0
29335,FFF,2013J,34877,94.0,1.632993161855452,92.0,96.0,4,-2.75,2.0,97.0
29411,DDD,2013J,25349,75.0,0.0,75.0,75.0,1,-1.0,0.0,79.0
29411,DDD,2013J,25350,77.0,2.8284271247461903,75.0,79.0,2,-0.5,4.0,93.0
29411,DDD,2013J,25351,82.33333333333333,9.451631252505218,75.0,93.0,3,-0.3333333333333333,18.0,58.0
29411,DDD,2013J,25352,76.25,14.407752542757436,58.0,93.0,4,1.5,-17.0,86.0
29411,DDD,2013J,25353,78.2,13.21741275741966,58.0,93.0,5,0.8,11.0,66.0
29420,CCC,2014J,24293,90.0,0.0,90.0,90.0,1,2.0,0.0,56.0
29420,CCC,2014J,24294,73.0,24.041630560342615,56.0,90.0,2,2.5,-34.0,54.0
29639,CCC,2014J,24292,90.0,0.0,90.0,90.0,1,0.0,0.0,94.0
29639,CCC,2014J,24293,92.0,2.8284271247461903,90.0,94.0,2,0.0,4.0,90.0
29639,CCC,2014J,24294,91.33333333333333,2.3094010767585034,90.0,94.0,3,-0.3333333333333333,0.0,89.0
29639,EEE,2014B,30715,86.0,0.0,86.0,86.0,1,-6.0,0.0,84.0
29639,EEE,2014B,30716,85.0,1.4142135623730951,84.0,86.0,2,-3.5,-2.0,80.0
29639,EEE,2014B,30717,83.33333333333333,3.055050463303893,80.0,86.0,3,-2.6666666666666665,-6.0,85.0
29764,CCC,2014B,24283,92.0,0.0,92.0,92.0,1,-1.0,0.0,97.0
29764,CCC,2014B,24284,94.5,3.5355339059327378,92.0,97.0,2,-1.0,5.0,92.0
29764,CCC,2014B,24285,93.66666666666667,2.8867513459481287,92.0,97.0,3,2.0,0.0,84.0
29769,FFF,2013J,34874,88.0,0.0,88.0,88.0,1,-2.0,0.0,64.0
29769,FFF,2013J,34875,76.0,16.97056274847714,64.0,88.0,2,2.5,-24.0,63.0
29769,FFF,2013J,34876,71.66666666666667,14.153915830374762,63.0,88.0,3,4.0,-25.0,60.0
29820,CCC,2014B,24283,100.0,0.0,100.0,100.0,1,-1.0,0.0,87.0
29820,CCC,2014B,24284,93.5,9.192388155425117,87.0,100.0,2,-1.0,-13.0,87.0
29820,CCC,2014B,24285,91.33333333333333,7.505553499465136,87.0,100.0,3,-1.3333333333333333,-13.0,85.0
29820,EEE,2014B,30715,99.0,0.0,99.0,99.0,1,-2.0,0.0,64.0
29820,EEE,2014B,30716,81.5,24.748737341529164,64.0,99.0,2,-2.0,-35.0,80.0
29820,EEE,2014B,30717,81.0,17.52141546793523,64.0,99.0,3,-2.3333333333333335,-19.0,83.0
29985,GGG,2014B,37426,75.0,0.0,75.0,75.0,1,-19.0,0.0,60.0
29985,GGG,2014B,37427,67.5,10.606601717798213,60.0,75.0,2,-11.0,-15.0,72.0
30091,BBB,2013J,14997,80.0,0.0,80.0,80.0,1,5.0,0.0,72.0
30091,BBB,2013J,14998,76.0,5.656854249492381,72.0,80.0,2,5.5,-8.0,75.0
30091,BBB,2013J,15000,75.66666666666667,4.041451884327381,72.0,80.0,3,2.3333333333333335,-5.0,78.0
30091,BBB,2013J,15001,76.25,3.5,72.0,80.0,4,2.0,-2.0,75.0
30096,CCC,2014J,24292,94.0,0.0,94.0,94.0,1,-22.0,0.0,92.0
30096,CCC,2014J,24293,93.0,1.4142135623730951,92.0,94.0,2,-12.5,-2.0,89.0
