id_student,code_module,code_presentation,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,final_result
6516,AAA,2014J,21.0,0.0,0.0,0.0,451.0,0.0,497.0,0.0,0.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,143.0,143.0,Pass
8462,DDD,2013J,0.0,0.0,12.0,0.0,36.0,0.0,184.0,0.0,12.0,64.0,0.0,18.0,0.0,0.0,0.0,0.0,70.0,0.0,227.0,23.0,Withdrawn
8462,DDD,2014J,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Withdrawn
11391,AAA,2013J,0.0,0.0,0.0,0.0,193.0,0.0,138.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,32.0,5.0,Pass
23629,BBB,2013B,0.0,0.0,0.0,0.0,87.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0,0.0,5.0,0.0,Fail
23698,CCC,2014J,0.0,0.0,0.0,0.0,63.0,0.0,121.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,576.0,0.0,42.0,0.0,98.0,5.0,Pass
23798,BBB,2013J,0.0,0.0,0.0,0.0,145.0,1.0,169.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,104.0,0.0,21.0,0.0,47.0,56.0,Distinction
24186,GGG,2014B,0.0,0.0,0.0,0.0,14.0,0.0,46.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,102.0,0.0,8.0,0.0,5.0,0.0,Pass
24213,DDD,2014B,0.0,0.0,9.0,0.0,778.0,0.0,325.0,0.0,26.0,262.0,0.0,88.0,0.0,0.0,0.0,0.0,51.0,0.0,427.0,26.0,Pass
24391,GGG,2013J,0.0,0.0,0.0,0.0,62.0,2.0,130.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,120.0,0.0,18.0,0.0,23.0,0.0,Distinction
24734,AAA,2014J,0.0,0.0,0.0,0.0,158.0,0.0,138.0,0.0,1.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.0,9.0,Pass
25107,BBB,2013B,0.0,0.0,0.0,0.0,1584.0,2.0,831.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,85.0,0.0,23.0,0.0,21.0,14.0,Pass
25150,EEE,2014B,0.0,0.0,0.0,0.0,148.0,0.0,282.0,0.0,0.0,1283.0,0.0,191.0,0.0,0.0,125.0,0.0,14.0,0.0,24.0,36.0,Pass
25261,CCC,2014J,0.0,0.0,0.0,0.0,506.0,0.0,174.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,117.0,0.0,36.0,0.0,118.0,3.0,Withdrawn
25572,DDD,2014J,0.0,0.0,0.0,0.0,4.0,0.0,44.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,39.0,6.0,Withdrawn
25629,BBB,2014B,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Withdrawn
25997,BBB,2014B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Withdrawn
26023,GGG,2013J,0.0,0.0,0.0,0.0,118.0,1.0,315.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,105.0,0.0,83.0,0.0,13.0,0.0,Pass
26192,AAA,2014J,9.0,0.0,0.0,0.0,119.0,0.0,525.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,250.0,162.0,Distinction
26211,FFF,2014B,35.0,4.0,0.0,3.0,1250.0,2.0,2396.0,0.0,16.0,8328.0,0.0,87.0,39.0,41.0,1711.0,0.0,82.0,0.0,1086.0,125.0,Pass
26247,FFF,2013J,0.0,0.0,0.0,0.0,139.0,0.0,67.0,0.0,0.0,120.0,0.0,27.0,5.0,0.0,38.0,0.0,9.0,0.0,63.0,10.0,Fail
26315,BBB,2014J,0.0,0.0,0.0,0.0,255.0,3.0,428.0,0.0,13.0,995.0,0.0,0.0,0.0,14.0,501.0,0.0,95.0,0.0,140.0,7.0,Pass
26734,BBB,2014J,0.0,0.0,0.0,0.0,16.0,1.0,65.0,0.0,19.0,57.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,15.0,1.0,Fail
26915,EEE,2013J,0.0,0.0,0.0,0.0,23.0,0.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,Fail
27116,CCC,2014J,0.0,0.0,0.0,0.0,407.0,0.0,401.0,0.0,52.0,269.0,0.0,0.0,2.0,0.0,448.0,0.0,104.0,0.0,158.0,6.0,Distinction
27189,FFF,2014B,0.0,0.0,0.0,6.0,336.0,0.0,280.0,0.0,2.0,731.0,0.0,3.0,2.0,0.0,923.0,0.0,85.0,0.0,245.0,25.0,Fail
27417,DDD,2013J,0.0,0.0,1.0,0.0,142.0,0.0,99.0,0.0,5.0,55.0,0.0,36.0,0.0,0.0,0.0,0.0,45.0,0.0,20.0,7.0,Withdrawn
27417,DDD,2014J,0.0,0.0,0.0,0.0,25.0,10.0,24.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Withdrawn
27683,FFF,2014B,0.0,0.0,0.0,2.0,74.0,0.0,237.0,0.0,0.0,906.0,0.0,27.0,9.0,3.0,643.0,0.0,45.0,0.0,161.0,22.0,Pass
27759,BBB,2013J,0.0,0.0,0.0,0.0,65.0,4.0,123.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,88.0,0.0,19.0,0.0,35.0,15.0,Fail
27780,EEE,2014B,0.0,0.0,0.0,0.0,17.0,0.0,152.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,82.0,0.0,12.0,0.0,17.0,27.0,Pass
27891,BBB,2013B,0.0,0.0,0.0,0.0,173.0,0.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,6.0,0.0,11.0,6.0,Withdrawn
27891,BBB,2014B,0.0,0.0,0.0,0.0,32.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Fail
27935,DDD,2013J,0.0,0.0,3.0,0.0,142.0,0.0,259.0,0.0,2.0,64.0,0.0,38.0,0.0,0.0,0.0,0.0,41.0,0.0,231.0,33.0,Fail
28046,DDD,2013J,0.0,0.0,10.0,0.0,92.0,0.0,162.0,0.0,0.0,100.0,0.0,75.0,0.0,0.0,0.0,0.0,32.0,0.0,175.0,15.0,Fail
28061,AAA,2014J,7.0,0.0,0.0,0.0,315.0,0.0,395.0,0.0,5.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,170.0,110.0,Pass
28400,AAA,2013J,10.0,0.0,0.0,0.0,417.0,0.0,324.0,0.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,87.0,48.0,Pass
28418,CCC,2014B,0.0,0.0,0.0,0.0,1.0,0.0,67.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,133.0,0.0,44.0,0.0,79.0,1.0,Fail
28787,CCC,2014J,0.0,0.0,0.0,0.0,123.0,0.0,144.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,254.0,0.0,25.0,0.0,82.0,3.0,Pass
28808,FFF,2014B,0.0,0.0,0.0,0.0,41.0,0.0,46.0,0.0,0.0,79.0,0.0,4.0,4.0,0.0,6.0,0.0,9.0,0.0,42.0,1.0,Fail
