iter	Passed	Remaining
0	17	1692
1	33	1653
2	50	1621
3	67	1613
4	83	1594
5	100	1574
6	117	1556
7	133	1537
8	150	1523
9	169	1521
10	193	1567
11	216	1585
12	236	1583
13	252	1553
14	269	1525
15	285	1498
16	301	1470
17	317	1447
18	334	1426
19	350	1401
20	366	1378
21	382	1357
22	398	1335
23	429	1358
24	456	1368
25	477	1359
26	496	1342
27	517	1331
28	536	1312
29	552	1289
30	569	1266
31	585	1244
32	602	1222
33	618	1200
34	634	1177
35	650	1156
36	666	1134
37	682	1114
38	698	1092
39	714	1072
40	733	1056
41	750	1036
42	766	1015
43	781	995
44	797	974
45	813	955
46	830	936
47	847	918
48	863	898
49	878	878
50	894	859
51	912	842
52	939	832
53	960	817
54	977	799
55	993	780
56	1009	761
57	1026	743
58	1042	724
59	1058	705
60	1073	686
61	1089	667
62	1105	649
63	1120	630
64	1137	612
65	1153	594
66	1169	575
67	1186	558
68	1202	540
69	1223	524
70	1239	506
71	1255	488
72	1270	470
73	1290	453
74	1313	437
75	1335	421
76	1351	403
77	1367	385
78	1383	367
79	1399	349
80	1415	332
81	1431	314
82	1448	296
83	1468	279
84	1490	263
85	1510	245
86	1527	228
87	1544	210
88	1561	192
89	1577	175
90	1592	157
91	1607	139
92	1626	122
93	1641	104
94	1657	87
95	1674	69
96	1689	52
97	1704	34
98	1725	17
99	1747	0
